"term_name","Presence","ONTOLOGY","ontology_full"
"'de novo' IMP biosynthetic process","Both Scenarios","BP","Biological Process"
"'de novo' NAD biosynthetic process from aspartate","Both Scenarios","BP","Biological Process"
"(1->3)-beta-D-glucan biosynthetic process","Both Scenarios","BP","Biological Process"
"DNA integration","Both Scenarios","BP","Biological Process"
"DNA repair","Both Scenarios","BP","Biological Process"
"DNA replication","Both Scenarios","BP","Biological Process"
"DNA-templated transcription","Both Scenarios","BP","Biological Process"
"L-histidine biosynthetic process","Both Scenarios","BP","Biological Process"
"L-phenylalanine catabolic process","Both Scenarios","BP","Biological Process"
"NAD biosynthetic process","Both Scenarios","BP","Biological Process"
"RNA modification","Both Scenarios","BP","Biological Process"
"RNA processing","Both Scenarios","BP","Biological Process"
"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process","Both Scenarios","BP","Biological Process"
"abscisic acid-activated signaling pathway","Both Scenarios","BP","Biological Process"
"acetyl-CoA biosynthetic process","Both Scenarios","BP","Biological Process"
"activation of GTPase activity","Both Scenarios","BP","Biological Process"
"amino acid biosynthetic process","Both Scenarios","BP","Biological Process"
"amino acid metabolic process","Both Scenarios","BP","Biological Process"
"arachidonate secretion","Both Scenarios","BP","Biological Process"
"aromatic amino acid metabolic process","Both Scenarios","BP","Biological Process"
"autophagy","Both Scenarios","BP","Biological Process"
"auxin-activated signaling pathway","Both Scenarios","BP","Biological Process"
"biosynthetic process","Both Scenarios","BP","Biological Process"
"brassinosteroid mediated signaling pathway","Both Scenarios","BP","Biological Process"
"calcium-mediated signaling","Both Scenarios","BP","Biological Process"
"carbohydrate metabolic process","Both Scenarios","BP","Biological Process"
"carboxylic acid metabolic process","Both Scenarios","BP","Biological Process"
"cell wall macromolecule catabolic process","Both Scenarios","BP","Biological Process"
"cellular response to heat","Both Scenarios","BP","Biological Process"
"chaperone cofactor-dependent protein refolding","Both Scenarios","BP","Biological Process"
"chaperone-mediated protein complex assembly","Both Scenarios","BP","Biological Process"
"chitin catabolic process","Both Scenarios","BP","Biological Process"
"chloroplast accumulation movement","Both Scenarios","BP","Biological Process"
"chloroplast avoidance movement","Both Scenarios","BP","Biological Process"
"chromatin remodeling","Both Scenarios","BP","Biological Process"
"cytidine to uridine editing","Both Scenarios","BP","Biological Process"
"cytokinin-activated signaling pathway","Both Scenarios","BP","Biological Process"
"cytosolic ribosome assembly","Both Scenarios","BP","Biological Process"
"defense response","Both Scenarios","BP","Biological Process"
"double-strand break repair","Both Scenarios","BP","Biological Process"
"double-strand break repair via homologous recombination","Both Scenarios","BP","Biological Process"
"electron transport chain","Both Scenarios","BP","Biological Process"
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","Both Scenarios","BP","Biological Process"
"endoplasmic reticulum to Golgi vesicle-mediated transport","Both Scenarios","BP","Biological Process"
"endosomal transport","Both Scenarios","BP","Biological Process"
"enzyme-directed rRNA pseudouridine synthesis","Both Scenarios","BP","Biological Process"
"exocytosis","Both Scenarios","BP","Biological Process"
"fatty acid beta-oxidation","Both Scenarios","BP","Biological Process"
"fatty acid biosynthetic process","Both Scenarios","BP","Biological Process"
"fatty acid metabolic process","Both Scenarios","BP","Biological Process"
"formation of cytoplasmic translation initiation complex","Both Scenarios","BP","Biological Process"
"fructose 6-phosphate metabolic process","Both Scenarios","BP","Biological Process"
"glutathione metabolic process","Both Scenarios","BP","Biological Process"
"glycolytic process","Both Scenarios","BP","Biological Process"
"glycoprotein biosynthetic process","Both Scenarios","BP","Biological Process"
"hydrogen peroxide catabolic process","Both Scenarios","BP","Biological Process"
"innate immune response","Both Scenarios","BP","Biological Process"
"interstrand cross-link repair","Both Scenarios","BP","Biological Process"
"intracellular protein transport","Both Scenarios","BP","Biological Process"
"isoprenoid biosynthetic process","Both Scenarios","BP","Biological Process"
"leaf vascular tissue pattern formation","Both Scenarios","BP","Biological Process"
"lipid homeostasis","Both Scenarios","BP","Biological Process"
"lipid metabolic process","Both Scenarios","BP","Biological Process"
"lipid transport","Both Scenarios","BP","Biological Process"
"lysine biosynthetic process via diaminopimelate","Both Scenarios","BP","Biological Process"
"mRNA splicing, via spliceosome","Both Scenarios","BP","Biological Process"
"magnesium ion transport","Both Scenarios","BP","Biological Process"
"malate metabolic process","Both Scenarios","BP","Biological Process"
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","Both Scenarios","BP","Biological Process"
"membrane lipid biosynthetic process","Both Scenarios","BP","Biological Process"
"meristem development","Both Scenarios","BP","Biological Process"
"meristem maintenance","Both Scenarios","BP","Biological Process"
"methylglyoxal catabolic process","Both Scenarios","BP","Biological Process"
"microtubule cytoskeleton organization","Both Scenarios","BP","Biological Process"
"microtubule-based movement","Both Scenarios","BP","Biological Process"
"microtubule-based process","Both Scenarios","BP","Biological Process"
"mitochondrial mRNA modification","Both Scenarios","BP","Biological Process"
"mitochondrion organization","Both Scenarios","BP","Biological Process"
"mitotic sister chromatid cohesion","Both Scenarios","BP","Biological Process"
"monoatomic cation transport","Both Scenarios","BP","Biological Process"
"monoatomic ion transport","Both Scenarios","BP","Biological Process"
"negative regulation of DNA-templated transcription","Both Scenarios","BP","Biological Process"
"negative regulation of GTPase activity","Both Scenarios","BP","Biological Process"
"nucleobase-containing compound metabolic process","Both Scenarios","BP","Biological Process"
"nucleosome assembly","Both Scenarios","BP","Biological Process"
"nucleosome organization","Both Scenarios","BP","Biological Process"
"peptide metabolic process","Both Scenarios","BP","Biological Process"
"phloem or xylem histogenesis","Both Scenarios","BP","Biological Process"
"phosphatidylinositol dephosphorylation","Both Scenarios","BP","Biological Process"
"phospholipid metabolic process","Both Scenarios","BP","Biological Process"
"phosphorelay signal transduction system","Both Scenarios","BP","Biological Process"
"phosphorylation","Both Scenarios","BP","Biological Process"
"photomorphogenesis","Both Scenarios","BP","Biological Process"
"photosynthesis","Both Scenarios","BP","Biological Process"
"polyamine catabolic process","Both Scenarios","BP","Biological Process"
"polyketide biosynthetic process","Both Scenarios","BP","Biological Process"
"positive regulation of DNA-templated transcription","Both Scenarios","BP","Biological Process"
"positive regulation of transcription by RNA polymerase II","Both Scenarios","BP","Biological Process"
"proteasome-mediated ubiquitin-dependent protein catabolic process","Both Scenarios","BP","Biological Process"
"protein catabolic process","Both Scenarios","BP","Biological Process"
"protein dephosphorylation","Both Scenarios","BP","Biological Process"
"protein desumoylation","Both Scenarios","BP","Biological Process"
"protein deubiquitination","Both Scenarios","BP","Biological Process"
"protein folding","Both Scenarios","BP","Biological Process"
"protein import into nucleus","Both Scenarios","BP","Biological Process"
"protein insertion into membrane","Both Scenarios","BP","Biological Process"
"protein insertion into mitochondrial inner membrane from matrix","Both Scenarios","BP","Biological Process"
"protein phosphorylation","Both Scenarios","BP","Biological Process"
"protein poly-ADP-ribosylation","Both Scenarios","BP","Biological Process"
"protein transport","Both Scenarios","BP","Biological Process"
"protein ubiquitination","Both Scenarios","BP","Biological Process"
"proteolysis","Both Scenarios","BP","Biological Process"
"proton transmembrane transport","Both Scenarios","BP","Biological Process"
"pseudouridine synthesis","Both Scenarios","BP","Biological Process"
"pyruvate metabolic process","Both Scenarios","BP","Biological Process"
"rRNA base methylation","Both Scenarios","BP","Biological Process"
"rRNA processing","Both Scenarios","BP","Biological Process"
"regulation of DNA-templated transcription","Both Scenarios","BP","Biological Process"
"regulation of growth","Both Scenarios","BP","Biological Process"
"regulation of pH","Both Scenarios","BP","Biological Process"
"regulation of protein catabolic process","Both Scenarios","BP","Biological Process"
"regulation of response to reactive oxygen species","Both Scenarios","BP","Biological Process"
"regulation of transcription by RNA polymerase II","Both Scenarios","BP","Biological Process"
"regulation of translation","Both Scenarios","BP","Biological Process"
"response to desiccation","Both Scenarios","BP","Biological Process"
"response to endoplasmic reticulum stress","Both Scenarios","BP","Biological Process"
"response to oxidative stress","Both Scenarios","BP","Biological Process"
"response to stress","Both Scenarios","BP","Biological Process"
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","Both Scenarios","BP","Biological Process"
"ribosomal large subunit biogenesis","Both Scenarios","BP","Biological Process"
"ribosomal small subunit biogenesis","Both Scenarios","BP","Biological Process"
"ribosome biogenesis","Both Scenarios","BP","Biological Process"
"signal transduction","Both Scenarios","BP","Biological Process"
"snRNA transcription by RNA polymerase II","Both Scenarios","BP","Biological Process"
"snRNA transcription by RNA polymerase III","Both Scenarios","BP","Biological Process"
"steroid biosynthetic process","Both Scenarios","BP","Biological Process"
"tRNA methylation","Both Scenarios","BP","Biological Process"
"tRNA-type intron splice site recognition and cleavage","Both Scenarios","BP","Biological Process"
"telomere maintenance","Both Scenarios","BP","Biological Process"
"terpenoid biosynthetic process","Both Scenarios","BP","Biological Process"
"transcription by RNA polymerase III","Both Scenarios","BP","Biological Process"
"transcription initiation at RNA polymerase I promoter","Both Scenarios","BP","Biological Process"
"transcription initiation at RNA polymerase II promoter","Both Scenarios","BP","Biological Process"
"translation","Both Scenarios","BP","Biological Process"
"translational elongation","Both Scenarios","BP","Biological Process"
"translational initiation","Both Scenarios","BP","Biological Process"
"transmembrane transport","Both Scenarios","BP","Biological Process"
"transport","Both Scenarios","BP","Biological Process"
"tricarboxylic acid cycle","Both Scenarios","BP","Biological Process"
"ubiquitin-dependent protein catabolic process","Both Scenarios","BP","Biological Process"
"vesicle docking","Both Scenarios","BP","Biological Process"
"vesicle fusion","Both Scenarios","BP","Biological Process"
"vesicle-mediated transport","Both Scenarios","BP","Biological Process"
"1,3-beta-D-glucan synthase complex","Both Scenarios","CC","Cellular Component"
"90S preribosome","Both Scenarios","CC","Cellular Component"
"CCAAT-binding factor complex","Both Scenarios","CC","Cellular Component"
"Golgi apparatus","Both Scenarios","CC","Cellular Component"
"Golgi membrane","Both Scenarios","CC","Cellular Component"
"MCM complex","Both Scenarios","CC","Cellular Component"
"SCF ubiquitin ligase complex","Both Scenarios","CC","Cellular Component"
"SNARE complex","Both Scenarios","CC","Cellular Component"
"catalytic step 2 spliceosome","Both Scenarios","CC","Cellular Component"
"cell wall","Both Scenarios","CC","Cellular Component"
"chloroplast","Both Scenarios","CC","Cellular Component"
"chloroplast stroma","Both Scenarios","CC","Cellular Component"
"chloroplast thylakoid membrane","Both Scenarios","CC","Cellular Component"
"chromatin","Both Scenarios","CC","Cellular Component"
"chromosome","Both Scenarios","CC","Cellular Component"
"cytoplasm","Both Scenarios","CC","Cellular Component"
"cytosol","Both Scenarios","CC","Cellular Component"
"cytosolic large ribosomal subunit","Both Scenarios","CC","Cellular Component"
"cytosolic small ribosomal subunit","Both Scenarios","CC","Cellular Component"
"endomembrane system","Both Scenarios","CC","Cellular Component"
"endoplasmic reticulum","Both Scenarios","CC","Cellular Component"
"endoplasmic reticulum membrane","Both Scenarios","CC","Cellular Component"
"endosome","Both Scenarios","CC","Cellular Component"
"exon-exon junction complex","Both Scenarios","CC","Cellular Component"
"extracellular region","Both Scenarios","CC","Cellular Component"
"extrinsic component of membrane","Both Scenarios","CC","Cellular Component"
"intracellular membrane-bounded organelle","Both Scenarios","CC","Cellular Component"
"late endosome membrane","Both Scenarios","CC","Cellular Component"
"mediator complex","Both Scenarios","CC","Cellular Component"
"membrane","Both Scenarios","CC","Cellular Component"
"microtubule","Both Scenarios","CC","Cellular Component"
"mitochondrial inner membrane","Both Scenarios","CC","Cellular Component"
"mitochondrial outer membrane","Both Scenarios","CC","Cellular Component"
"mitochondrial outer membrane translocase complex","Both Scenarios","CC","Cellular Component"
"mitochondrion","Both Scenarios","CC","Cellular Component"
"myosin II complex","Both Scenarios","CC","Cellular Component"
"nucleolus","Both Scenarios","CC","Cellular Component"
"nucleosome","Both Scenarios","CC","Cellular Component"
"nucleus","Both Scenarios","CC","Cellular Component"
"peroxisomal membrane","Both Scenarios","CC","Cellular Component"
"peroxisome","Both Scenarios","CC","Cellular Component"
"photosystem II","Both Scenarios","CC","Cellular Component"
"photosystem II oxygen evolving complex","Both Scenarios","CC","Cellular Component"
"plasma membrane","Both Scenarios","CC","Cellular Component"
"preribosome, small subunit precursor","Both Scenarios","CC","Cellular Component"
"proteasome complex","Both Scenarios","CC","Cellular Component"
"proteasome regulatory particle, base subcomplex","Both Scenarios","CC","Cellular Component"
"proteasome storage granule","Both Scenarios","CC","Cellular Component"
"protein phosphatase type 2A complex","Both Scenarios","CC","Cellular Component"
"ribosome","Both Scenarios","CC","Cellular Component"
"site of double-strand break","Both Scenarios","CC","Cellular Component"
"small ribosomal subunit","Both Scenarios","CC","Cellular Component"
"small-subunit processome","Both Scenarios","CC","Cellular Component"
"snRNA-activating protein complex","Both Scenarios","CC","Cellular Component"
"tRNA (m1A) methyltransferase complex","Both Scenarios","CC","Cellular Component"
"tRNA-intron endonuclease complex","Both Scenarios","CC","Cellular Component"
"trans-Golgi network","Both Scenarios","CC","Cellular Component"
"transcription factor TFIIIC complex","Both Scenarios","CC","Cellular Component"
"vacuole","Both Scenarios","CC","Cellular Component"
"1,3-beta-D-glucan synthase activity","Both Scenarios","MF","Molecular Function"
"2 iron, 2 sulfur cluster binding","Both Scenarios","MF","Molecular Function"
"4 iron, 4 sulfur cluster binding","Both Scenarios","MF","Molecular Function"
"6-phosphofructokinase activity","Both Scenarios","MF","Molecular Function"
"ABC-type transporter activity","Both Scenarios","MF","Molecular Function"
"ADP binding","Both Scenarios","MF","Molecular Function"
"ATP binding","Both Scenarios","MF","Molecular Function"
"ATP hydrolysis activity","Both Scenarios","MF","Molecular Function"
"ATP-dependent protein folding chaperone","Both Scenarios","MF","Molecular Function"
"ATPase-coupled transmembrane transporter activity","Both Scenarios","MF","Molecular Function"
"DNA binding","Both Scenarios","MF","Molecular Function"
"DNA helicase activity","Both Scenarios","MF","Molecular Function"
"DNA-binding transcription activator activity, RNA polymerase II-specific","Both Scenarios","MF","Molecular Function"
"DNA-binding transcription factor activity","Both Scenarios","MF","Molecular Function"
"DNA-binding transcription factor activity, RNA polymerase II-specific","Both Scenarios","MF","Molecular Function"
"DNA-directed DNA polymerase activity","Both Scenarios","MF","Molecular Function"
"FMN binding","Both Scenarios","MF","Molecular Function"
"GTP binding","Both Scenarios","MF","Molecular Function"
"GTPase activator activity","Both Scenarios","MF","Molecular Function"
"GTPase activity","Both Scenarios","MF","Molecular Function"
"Hsp90 protein binding","Both Scenarios","MF","Molecular Function"
"NAD binding","Both Scenarios","MF","Molecular Function"
"NAD+-protein ADP-ribosyltransferase activity","Both Scenarios","MF","Molecular Function"
"NAD+-protein poly-ADP-ribosyltransferase activity","Both Scenarios","MF","Molecular Function"
"NADH pyrophosphatase activity","Both Scenarios","MF","Molecular Function"
"NADP binding","Both Scenarios","MF","Molecular Function"
"O-acetyltransferase activity","Both Scenarios","MF","Molecular Function"
"RNA binding","Both Scenarios","MF","Molecular Function"
"RNA endonuclease activity","Both Scenarios","MF","Molecular Function"
"RNA helicase activity","Both Scenarios","MF","Molecular Function"
"RNA polymerase I general transcription initiation factor activity","Both Scenarios","MF","Molecular Function"
"RNA polymerase II cis-regulatory region sequence-specific DNA binding","Both Scenarios","MF","Molecular Function"
"RNA polymerase II transcription regulatory region sequence-specific DNA binding","Both Scenarios","MF","Molecular Function"
"RNA polymerase III type 3 promoter sequence-specific DNA binding","Both Scenarios","MF","Molecular Function"
"RNA-DNA hybrid ribonuclease activity","Both Scenarios","MF","Molecular Function"
"S-adenosylmethionine-dependent methyltransferase activity","Both Scenarios","MF","Molecular Function"
"SNAP receptor activity","Both Scenarios","MF","Molecular Function"
"SNARE binding","Both Scenarios","MF","Molecular Function"
"U3 snoRNA binding","Both Scenarios","MF","Molecular Function"
"UDP-glycosyltransferase activity","Both Scenarios","MF","Molecular Function"
"[acyl-carrier-protein] S-malonyltransferase activity","Both Scenarios","MF","Molecular Function"
"abscisic acid binding","Both Scenarios","MF","Molecular Function"
"acetyl-CoA C-acetyltransferase activity","Both Scenarios","MF","Molecular Function"
"actin binding","Both Scenarios","MF","Molecular Function"
"acyl binding","Both Scenarios","MF","Molecular Function"
"acyl carrier activity","Both Scenarios","MF","Molecular Function"
"acyltransferase activity","Both Scenarios","MF","Molecular Function"
"acyltransferase activity, transferring groups other than amino-acyl groups","Both Scenarios","MF","Molecular Function"
"aminoacyl-tRNA hydrolase activity","Both Scenarios","MF","Molecular Function"
"antiporter activity","Both Scenarios","MF","Molecular Function"
"aspartic-type endopeptidase activity","Both Scenarios","MF","Molecular Function"
"bent DNA binding","Both Scenarios","MF","Molecular Function"
"calcium ion binding","Both Scenarios","MF","Molecular Function"
"carbohydrate binding","Both Scenarios","MF","Molecular Function"
"carbon-carbon lyase activity","Both Scenarios","MF","Molecular Function"
"carboxy-lyase activity","Both Scenarios","MF","Molecular Function"
"catalytic activity","Both Scenarios","MF","Molecular Function"
"channel activity","Both Scenarios","MF","Molecular Function"
"chitin binding","Both Scenarios","MF","Molecular Function"
"chitinase activity","Both Scenarios","MF","Molecular Function"
"chromatin binding","Both Scenarios","MF","Molecular Function"
"core promoter sequence-specific DNA binding","Both Scenarios","MF","Molecular Function"
"cysteine-type deubiquitinase activity","Both Scenarios","MF","Molecular Function"
"cysteine-type peptidase activity","Both Scenarios","MF","Molecular Function"
"damaged DNA binding","Both Scenarios","MF","Molecular Function"
"deSUMOylase activity","Both Scenarios","MF","Molecular Function"
"dipeptidyl-peptidase activity","Both Scenarios","MF","Molecular Function"
"double-stranded DNA binding","Both Scenarios","MF","Molecular Function"
"electron transfer activity","Both Scenarios","MF","Molecular Function"
"enzyme inhibitor activity","Both Scenarios","MF","Molecular Function"
"enzyme regulator activity","Both Scenarios","MF","Molecular Function"
"flavin adenine dinucleotide binding","Both Scenarios","MF","Molecular Function"
"glucosyltransferase activity","Both Scenarios","MF","Molecular Function"
"glutathione transferase activity","Both Scenarios","MF","Molecular Function"
"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity","Both Scenarios","MF","Molecular Function"
"glycosyltransferase activity","Both Scenarios","MF","Molecular Function"
"heme binding","Both Scenarios","MF","Molecular Function"
"histone acetyltransferase activity","Both Scenarios","MF","Molecular Function"
"histone binding","Both Scenarios","MF","Molecular Function"
"histone methyltransferase activity","Both Scenarios","MF","Molecular Function"
"hydrolase activity","Both Scenarios","MF","Molecular Function"
"hydrolase activity, acting on ester bonds","Both Scenarios","MF","Molecular Function"
"hydrolase activity, hydrolyzing O-glycosyl compounds","Both Scenarios","MF","Molecular Function"
"hydroxyacylglutathione hydrolase activity","Both Scenarios","MF","Molecular Function"
"inositol-polyphosphate 5-phosphatase activity","Both Scenarios","MF","Molecular Function"
"intramolecular lyase activity","Both Scenarios","MF","Molecular Function"
"iron ion binding","Both Scenarios","MF","Molecular Function"
"iron-sulfur cluster binding","Both Scenarios","MF","Molecular Function"
"kinase activity","Both Scenarios","MF","Molecular Function"
"kinase binding","Both Scenarios","MF","Molecular Function"
"large ribosomal subunit rRNA binding","Both Scenarios","MF","Molecular Function"
"lipid binding","Both Scenarios","MF","Molecular Function"
"long-chain fatty acid-CoA ligase activity","Both Scenarios","MF","Molecular Function"
"lyase activity","Both Scenarios","MF","Molecular Function"
"mRNA binding","Both Scenarios","MF","Molecular Function"
"magnesium ion binding","Both Scenarios","MF","Molecular Function"
"magnesium ion transmembrane transporter activity","Both Scenarios","MF","Molecular Function"
"maleylacetoacetate isomerase activity","Both Scenarios","MF","Molecular Function"
"manganese ion binding","Both Scenarios","MF","Molecular Function"
"membrane insertase activity","Both Scenarios","MF","Molecular Function"
"metal ion binding","Both Scenarios","MF","Molecular Function"
"metalloendopeptidase activity","Both Scenarios","MF","Molecular Function"
"methyltransferase activity","Both Scenarios","MF","Molecular Function"
"microtubule binding","Both Scenarios","MF","Molecular Function"
"microtubule motor activity","Both Scenarios","MF","Molecular Function"
"monooxygenase activity","Both Scenarios","MF","Molecular Function"
"nucleic acid binding","Both Scenarios","MF","Molecular Function"
"nucleotide binding","Both Scenarios","MF","Molecular Function"
"oxidoreductase activity","Both Scenarios","MF","Molecular Function"
"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","Both Scenarios","MF","Molecular Function"
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","Both Scenarios","MF","Molecular Function"
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","Both Scenarios","MF","Molecular Function"
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","Both Scenarios","MF","Molecular Function"
"peroxidase activity","Both Scenarios","MF","Molecular Function"
"phosphatase activity","Both Scenarios","MF","Molecular Function"
"phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity","Both Scenarios","MF","Molecular Function"
"phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity","Both Scenarios","MF","Molecular Function"
"phospholipase A2 activity","Both Scenarios","MF","Molecular Function"
"poly(A) RNA polymerase activity","Both Scenarios","MF","Molecular Function"
"polyamine oxidase activity","Both Scenarios","MF","Molecular Function"
"polygalacturonase activity","Both Scenarios","MF","Molecular Function"
"polygalacturonate 4-alpha-galacturonosyltransferase activity","Both Scenarios","MF","Molecular Function"
"polysaccharide binding","Both Scenarios","MF","Molecular Function"
"protein binding","Both Scenarios","MF","Molecular Function"
"protein dimerization activity","Both Scenarios","MF","Molecular Function"
"protein heterodimerization activity","Both Scenarios","MF","Molecular Function"
"protein kinase activity","Both Scenarios","MF","Molecular Function"
"protein phosphatase inhibitor activity","Both Scenarios","MF","Molecular Function"
"protein phosphatase regulator activity","Both Scenarios","MF","Molecular Function"
"protein serine/threonine kinase activity","Both Scenarios","MF","Molecular Function"
"protein serine/threonine phosphatase activity","Both Scenarios","MF","Molecular Function"
"protein-folding chaperone binding","Both Scenarios","MF","Molecular Function"
"pseudouridine synthase activity","Both Scenarios","MF","Molecular Function"
"pyridoxal phosphate binding","Both Scenarios","MF","Molecular Function"
"quinolinate synthetase A activity","Both Scenarios","MF","Molecular Function"
"rRNA binding","Both Scenarios","MF","Molecular Function"
"ribosome binding","Both Scenarios","MF","Molecular Function"
"sequence-specific DNA binding","Both Scenarios","MF","Molecular Function"
"serine-type endopeptidase activity","Both Scenarios","MF","Molecular Function"
"serine-type exopeptidase activity","Both Scenarios","MF","Molecular Function"
"serine-type peptidase activity","Both Scenarios","MF","Molecular Function"
"signaling receptor activity","Both Scenarios","MF","Molecular Function"
"single-stranded DNA binding","Both Scenarios","MF","Molecular Function"
"single-stranded DNA helicase activity","Both Scenarios","MF","Molecular Function"
"small GTPase binding","Both Scenarios","MF","Molecular Function"
"structural constituent of chromatin","Both Scenarios","MF","Molecular Function"
"structural constituent of ribosome","Both Scenarios","MF","Molecular Function"
"tRNA-specific adenosine-34 deaminase activity","Both Scenarios","MF","Molecular Function"
"transaminase activity","Both Scenarios","MF","Molecular Function"
"transcription cis-regulatory region binding","Both Scenarios","MF","Molecular Function"
"transcription coactivator activity","Both Scenarios","MF","Molecular Function"
"transcription coregulator activity","Both Scenarios","MF","Molecular Function"
"transferase activity","Both Scenarios","MF","Molecular Function"
"translation elongation factor activity","Both Scenarios","MF","Molecular Function"
"translation initiation factor activity","Both Scenarios","MF","Molecular Function"
"transmembrane receptor protein kinase activity","Both Scenarios","MF","Molecular Function"
"transmembrane transporter activity","Both Scenarios","MF","Molecular Function"
"transporter activity","Both Scenarios","MF","Molecular Function"
"ubiquitin protein ligase activity","Both Scenarios","MF","Molecular Function"
"ubiquitin-protein transferase activity","Both Scenarios","MF","Molecular Function"
"unfolded protein binding","Both Scenarios","MF","Molecular Function"
"zinc ion binding","Both Scenarios","MF","Molecular Function"
"'de novo' cotranslational protein folding","Scenario 1 (Adaptation Only)","BP","Biological Process"
"2-oxoglutarate metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"CTP biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"DNA duplex unwinding","Scenario 1 (Adaptation Only)","BP","Biological Process"
"DNA recombination","Scenario 1 (Adaptation Only)","BP","Biological Process"
"DNA unwinding involved in DNA replication","Scenario 1 (Adaptation Only)","BP","Biological Process"
"DNA-templated transcription elongation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"ER to chloroplast lipid transport","Scenario 1 (Adaptation Only)","BP","Biological Process"
"ERAD pathway","Scenario 1 (Adaptation Only)","BP","Biological Process"
"FAD biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"GTP biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"Golgi to plasma membrane protein transport","Scenario 1 (Adaptation Only)","BP","Biological Process"
"L-arabinose metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"L-ascorbic acid biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"L-proline biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"MAPK cascade","Scenario 1 (Adaptation Only)","BP","Biological Process"
"N-acetylglucosamine metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"RNA 3'-end processing","Scenario 1 (Adaptation Only)","BP","Biological Process"
"RNA catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"RNA export from nucleus","Scenario 1 (Adaptation Only)","BP","Biological Process"
"RNA splicing","Scenario 1 (Adaptation Only)","BP","Biological Process"
"Rho protein signal transduction","Scenario 1 (Adaptation Only)","BP","Biological Process"
"SNARE complex disassembly","Scenario 1 (Adaptation Only)","BP","Biological Process"
"TRAMP-dependent tRNA surveillance pathway","Scenario 1 (Adaptation Only)","BP","Biological Process"
"U1 snRNA 3'-end processing","Scenario 1 (Adaptation Only)","BP","Biological Process"
"U4 snRNA 3'-end processing","Scenario 1 (Adaptation Only)","BP","Biological Process"
"U5 snRNA 3'-end processing","Scenario 1 (Adaptation Only)","BP","Biological Process"
"U6 snRNA 3'-end processing","Scenario 1 (Adaptation Only)","BP","Biological Process"
"UTP biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"abscisic acid metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"acylglycerol transport","Scenario 1 (Adaptation Only)","BP","Biological Process"
"aerobic respiration","Scenario 1 (Adaptation Only)","BP","Biological Process"
"alanyl-tRNA aminoacylation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"arabinan catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"arginine biosynthetic process via ornithine","Scenario 1 (Adaptation Only)","BP","Biological Process"
"auxin metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"base-excision repair","Scenario 1 (Adaptation Only)","BP","Biological Process"
"base-excision repair, AP site formation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"brassinosteroid biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"brassinosteroid homeostasis","Scenario 1 (Adaptation Only)","BP","Biological Process"
"carbohydrate phosphorylation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"cell differentiation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"cell fate determination","Scenario 1 (Adaptation Only)","BP","Biological Process"
"cell redox homeostasis","Scenario 1 (Adaptation Only)","BP","Biological Process"
"cell wall biogenesis","Scenario 1 (Adaptation Only)","BP","Biological Process"
"cell wall modification","Scenario 1 (Adaptation Only)","BP","Biological Process"
"cell wall pectin biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"cellular response to iron ion starvation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"cellular response to misfolded protein","Scenario 1 (Adaptation Only)","BP","Biological Process"
"cellular response to oxidative stress","Scenario 1 (Adaptation Only)","BP","Biological Process"
"cellulose biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"ceramide biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
